CustomerID,InvoiceDate,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,Segment
12374.0,2011-11-14 15:37:00,25,33,742.9300000000001,4,3,3,433,10,Loyal Customers
12375.0,2011-12-07 11:27:00,3,18,455.42,5,2,2,522,9,New Customers
12377.0,2011-01-28 15:45:00,315,77,1628.12,1,4,4,144,9,Big Spenders
12378.0,2011-08-02 10:34:00,130,219,4008.62,2,5,5,255,12,Big Spenders
12379.0,2011-09-19 10:09:00,82,41,850.29,2,3,3,233,8,Needs Attention
12380.0,2011-11-18 11:27:00,22,105,2720.56,4,4,5,445,13,Best Customers
12381.0,2011-12-05 12:44:00,5,91,1803.96,5,4,4,544,13,Best Customers
12383.0,2011-06-08 08:02:00,185,100,1839.31,1,4,4,144,9,Big Spenders
12384.0,2011-11-11 08:39:00,29,30,566.16,4,3,3,433,10,Loyal Customers
12386.0,2011-01-06 12:37:00,338,10,401.9,1,1,2,112,4,Lost Customers
12388.0,2011-11-24 12:30:00,16,100,2780.66,4,4,5,445,13,Best Customers
12390.0,2011-09-21 09:33:00,80,32,549.84,2,3,3,233,8,Needs Attention
12391.0,2011-11-18 12:07:00,22,100,460.89,4,4,2,442,10,Needs Attention
12393.0,2011-09-28 15:41:00,72,64,1582.6000000000001,2,4,4,244,10,Big Spenders
12394.0,2011-10-07 08:08:00,64,27,1272.48,3,2,4,324,9,Needs Attention
12395.0,2011-11-24 12:20:00,16,159,2998.28,4,5,5,455,14,Best Customers
12397.0,2011-11-04 09:52:00,36,126,2409.9,3,5,5,355,13,Loyal Customers
12398.0,2011-10-25 10:27:00,46,85,1635.6599999999999,3,4,4,344,11,Loyal Customers
12399.0,2011-08-12 13:15:00,119,59,1108.65,2,4,4,244,10,Big Spenders
12401.0,2011-02-09 13:50:00,303,5,84.3,1,1,1,111,3,Lost Customers
12402.0,2011-01-20 13:49:00,323,11,225.6,1,1,1,111,3,Lost Customers
12403.0,2011-10-21 11:00:00,50,6,409.7,3,1,2,312,6,Needs Attention
12405.0,2011-07-14 08:52:00,149,54,1710.39,2,3,4,234,9,Needs Attention
12406.0,2011-11-17 19:22:00,22,108,3280.75,4,4,5,445,13,Best Customers
12407.0,2011-10-21 10:11:00,50,77,1708.1200000000001,3,4,4,344,11,Loyal Customers
12408.0,2011-11-07 12:30:00,33,113,2842.57,3,4,5,345,12,Loyal Customers
12409.0,2011-09-22 10:38:00,79,114,11056.93,2,4,5,245,11,Big Spenders
12410.0,2011-02-11 15:47:00,301,28,681.0799999999999,1,2,3,123,6,Needs Attention
12412.0,2011-09-26 10:16:00,75,61,1226.88,2,4,4,244,10,Big Spenders
12413.0,2011-10-04 09:00:00,67,40,694.15,3,3,3,333,9,Loyal Customers
12414.0,2011-05-06 14:51:00,217,18,562.41,1,2,3,123,6,Needs Attention
12415.0,2011-11-15 14:22:00,24,778,123725.45,4,5,5,455,14,Best Customers
12417.0,2011-12-06 14:52:00,3,198,3578.8,5,5,5,555,15,Best Customers
12418.0,2011-08-19 11:08:00,113,34,668.58,2,3,3,233,8,Needs Attention
12420.0,2011-10-07 08:55:00,64,29,600.39,3,2,3,323,8,Needs Attention
12421.0,2011-11-24 09:07:00,16,46,806.27,4,3,3,433,10,Loyal Customers
12422.0,2011-09-05 09:48:00,96,39,803.5600000000001,2,3,3,233,8,Needs Attention
12423.0,2011-12-09 10:10:00,1,126,1849.11,5,5,4,554,14,Best Customers
12424.0,2011-06-30 12:06:00,163,30,1760.96,2,3,4,234,9,Needs Attention
12425.0,2011-09-22 17:31:00,78,36,777.2,2,3,3,233,8,Needs Attention
12426.0,2011-05-29 12:26:00,195,30,582.73,1,3,3,133,7,Needs Attention
12427.0,2011-11-28 10:48:00,12,35,708.37,4,3,3,433,10,Loyal Customers
12428.0,2011-11-14 08:22:00,26,300,7877.2,4,5,5,455,14,Best Customers
12429.0,2011-11-30 17:22:00,9,97,3750.4,5,4,5,545,14,Best Customers
12430.0,2011-10-27 15:09:00,43,11,256.4,3,1,2,312,6,Needs Attention
12431.0,2011-11-04 11:55:00,36,240,6416.39,3,5,5,355,13,Loyal Customers
12432.0,2011-10-28 11:43:00,43,108,5059.32,3,4,5,345,12,Loyal Customers
12433.0,2011-12-09 10:02:00,1,420,13375.87,5,5,5,555,15,Best Customers
12434.0,2011-09-16 12:38:00,85,54,765.19,2,3,3,233,8,Needs Attention
12435.0,2011-09-21 09:06:00,80,36,7829.89,2,3,5,235,10,Needs Attention
12436.0,2011-09-01 12:09:00,100,16,509.01,2,2,3,223,7,Needs Attention
12437.0,2011-12-08 11:35:00,2,201,4896.66,5,5,5,555,15,Best Customers
12438.0,2011-11-25 13:28:00,14,98,2906.85,4,4,5,445,13,Best Customers
12441.0,2010-12-08 10:45:00,367,11,173.55,1,1,1,111,3,Lost Customers
12442.0,2011-12-06 14:22:00,3,12,172.06,5,1,1,511,7,New Customers
12444.0,2011-11-18 13:23:00,21,177,5005.46,4,5,5,455,14,Best Customers
12445.0,2011-11-17 18:43:00,22,4,133.4,4,1,1,411,6,New Customers
12446.0,2011-10-13 12:50:00,58,58,1002.3100000000001,3,3,4,334,10,Loyal Customers
12447.0,2011-04-10 13:25:00,243,26,476.49,1,2,3,123,6,Needs Attention
12448.0,2011-10-26 13:46:00,44,22,449.45,3,2,2,322,7,Needs Attention
12449.0,2011-11-17 13:46:00,22,191,4067.29,4,5,5,455,14,Best Customers
12450.0,2011-07-06 14:41:00,156,8,197.88,2,1,1,211,4,Lost Customers
12451.0,2011-11-29 08:40:00,11,355,8933.52,5,5,5,555,15,Best Customers
12452.0,2011-11-23 10:28:00,17,23,428.57,4,2,2,422,8,New Customers
12453.0,2011-07-28 14:08:00,134,43,707.09,2,3,3,233,8,Needs Attention
12454.0,2011-10-17 15:07:00,53,30,5.684341886080802e-14,3,3,1,331,7,Needs Attention
12455.0,2011-09-27 15:31:00,73,90,2466.86,2,4,5,245,11,Big Spenders
12456.0,2011-10-26 14:41:00,44,129,3153.89,3,5,5,355,13,Loyal Customers
12457.0,2011-10-12 13:46:00,58,68,1917.78,3,4,4,344,11,Loyal Customers
12458.0,2011-09-29 15:25:00,71,38,947.4,3,3,4,334,10,Loyal Customers
12461.0,2011-09-06 16:57:00,94,35,826.88,2,3,3,233,8,Needs Attention
12462.0,2011-12-07 14:02:00,2,72,1124.01,5,4,4,544,13,Best Customers
12463.0,2011-10-24 13:43:00,46,88,1303.63,3,4,4,344,11,Loyal Customers
12464.0,2011-11-29 13:33:00,10,29,1212.05,5,2,4,524,11,New Customers
12465.0,2011-12-02 11:34:00,8,51,733.89,5,3,3,533,11,Loyal Customers
12468.0,2011-07-19 13:42:00,143,40,724.0400000000001,2,3,3,233,8,Needs Attention
12471.0,2011-12-07 15:43:00,2,531,18740.92,5,5,5,555,15,Best Customers
12472.0,2011-11-09 11:33:00,31,391,6229.48,4,5,5,455,14,Best Customers
12473.0,2011-11-10 13:48:00,29,179,2848.23,4,5,5,455,14,Best Customers
12474.0,2011-11-22 14:39:00,17,457,7116.47,4,5,5,455,14,Best Customers
12475.0,2011-10-17 10:10:00,54,36,723.38,3,3,3,333,9,Loyal Customers
12476.0,2011-12-08 14:08:00,1,264,6546.58,5,5,5,555,15,Best Customers
12477.0,2011-11-17 09:51:00,23,308,13117.01,4,5,5,455,14,Best Customers
12478.0,2011-12-06 09:56:00,4,36,680.99,5,3,3,533,11,Loyal Customers
12479.0,2011-12-06 09:25:00,4,35,477.3,5,3,3,533,11,Loyal Customers
12480.0,2011-11-11 14:52:00,28,154,3281.63,4,5,5,455,14,Best Customers
12481.0,2011-11-17 08:29:00,23,218,5590.86,4,5,5,455,14,Best Customers
12483.0,2011-11-22 17:03:00,17,81,2327.13,4,4,5,445,13,Best Customers
12484.0,2011-11-07 11:37:00,33,350,4495.27,3,5,5,355,13,Loyal Customers
12488.0,2011-11-30 08:50:00,10,55,1298.66,5,3,4,534,12,Loyal Customers
12489.0,2011-01-07 13:13:00,336,15,334.93,1,2,2,122,5,Lost Customers
12490.0,2011-12-04 16:07:00,5,245,5417.93,5,5,5,555,15,Best Customers
12491.0,2011-11-01 12:18:00,39,26,460.40000000000003,3,2,2,322,7,Needs Attention
12492.0,2011-10-07 15:15:00,63,20,263.21000000000004,3,2,2,322,7,Needs Attention
12493.0,2011-06-27 10:17:00,166,23,416.79,2,2,2,222,6,Lost Customers
12494.0,2011-11-30 09:21:00,10,84,1139.3500000000001,5,4,4,544,13,Best Customers
12497.0,2011-09-19 12:29:00,82,14,1043.1,2,1,4,214,7,Needs Attention
12498.0,2011-11-18 12:53:00,21,23,403.70000000000005,4,2,2,422,8,New Customers
12500.0,2011-11-16 16:20:00,23,65,4206.27,4,4,5,445,13,Best Customers
12501.0,2011-01-28 13:54:00,315,160,2089.68,1,5,5,155,11,Big Spenders
12502.0,2011-09-05 11:52:00,96,147,3723.87,2,5,5,255,12,Big Spenders
12503.0,2011-01-06 11:51:00,338,1,-1126.0,1,1,1,111,3,Lost Customers
12504.0,2011-11-21 16:02:00,18,15,114.0,4,2,1,421,7,New Customers
12505.0,2011-02-11 13:39:00,301,1,-4.5,1,1,1,111,3,Lost Customers
12506.0,2011-04-21 08:54:00,233,23,73.5,1,2,1,121,4,Lost Customers
12507.0,2011-07-28 17:09:00,134,23,1258.06,2,2,4,224,8,Needs Attention
12508.0,2011-11-13 15:37:00,26,69,398.27,4,4,2,442,10,Needs Attention
12509.0,2011-02-28 14:45:00,284,7,176.5,1,1,1,111,3,Lost Customers
12510.0,2011-07-20 10:15:00,143,33,982.5699999999999,2,3,4,234,9,Needs Attention
12512.0,2011-10-04 14:55:00,66,34,138.03,3,3,1,331,7,Needs Attention
12513.0,2011-09-16 12:45:00,85,36,586.79,2,3,3,233,8,Needs Attention
12514.0,2011-03-17 16:38:00,267,51,1017.68,1,3,4,134,8,Needs Attention
12515.0,2010-12-21 15:43:00,353,16,383.7,1,2,2,122,5,Lost Customers
12516.0,2011-09-23 09:13:00,78,26,1312.06,2,2,4,224,8,Needs Attention
12517.0,2011-11-11 14:04:00,28,286,2464.89,4,5,5,455,14,Best Customers
12518.0,2011-12-09 10:13:00,1,124,2056.89,5,4,5,545,14,Best Customers
12519.0,2011-10-07 09:26:00,64,18,340.84,3,2,2,322,7,Needs Attention
12520.0,2011-09-21 15:23:00,79,155,2582.51,2,5,5,255,12,Big Spenders
12521.0,2011-07-20 10:51:00,143,38,599.68,2,3,3,233,8,Needs Attention
12522.0,2011-10-31 15:30:00,39,12,192.72,3,1,1,311,5,Needs Attention
12523.0,2011-12-08 11:46:00,2,110,1745.57,5,4,4,544,13,Best Customers
12524.0,2011-11-30 15:31:00,9,144,4485.72,5,5,5,555,15,Best Customers
12526.0,2011-12-09 12:09:00,1,71,1316.66,5,4,4,544,13,Best Customers
12527.0,2011-09-19 11:55:00,82,18,348.71000000000004,2,2,2,222,6,Lost Customers
12528.0,2011-11-30 14:40:00,9,95,1922.28,5,4,4,544,13,Best Customers
12530.0,2011-10-11 12:34:00,60,68,1623.63,3,4,4,344,11,Loyal Customers
12531.0,2011-11-25 11:12:00,15,17,125.22,4,2,1,421,7,New Customers
12532.0,2011-11-09 13:47:00,30,16,349.83000000000004,4,2,2,422,8,New Customers
12534.0,2011-08-01 10:26:00,131,63,1089.18,2,4,4,244,10,Big Spenders
12535.0,2011-09-09 08:48:00,92,34,716.35,2,3,3,233,8,Needs Attention
12536.0,2011-12-02 12:43:00,8,273,4106.82,5,5,5,555,15,Best Customers
12538.0,2011-11-10 17:16:00,29,21,363.95,4,2,2,422,8,New Customers
12539.0,2011-11-17 13:30:00,22,274,3852.5,4,5,5,455,14,Best Customers
12540.0,2011-11-20 11:31:00,20,481,13309.039999999999,4,5,5,455,14,Best Customers
12541.0,2011-11-10 10:40:00,30,52,981.18,4,3,4,434,11,Loyal Customers
12544.0,2011-11-10 11:12:00,30,20,355.7,4,2,2,422,8,New Customers
12545.0,2011-09-25 13:39:00,75,50,1000.39,2,3,4,234,9,Needs Attention
12546.0,2011-10-24 12:09:00,47,70,1141.5,3,4,4,344,11,Loyal Customers
12547.0,2011-05-26 12:38:00,198,8,207.79999999999998,1,1,1,111,3,Lost Customers
12548.0,2011-06-26 15:35:00,166,5,95.19999999999999,2,1,1,211,4,Lost Customers
12550.0,2011-09-21 14:35:00,79,57,964.83,2,3,4,234,9,Needs Attention
12551.0,2010-12-17 11:23:00,358,10,168.0,1,1,1,111,3,Lost Customers
12552.0,2011-11-01 10:02:00,39,20,437.82,3,2,2,322,7,Needs Attention
12553.0,2011-12-01 16:38:00,8,196,3652.25,5,5,5,555,15,Best Customers
12556.0,2011-10-20 13:06:00,50,121,603.71,3,4,3,343,10,Loyal Customers
12557.0,2011-11-23 16:59:00,16,33,11990.960000000001,4,3,5,435,12,Loyal Customers
12558.0,2011-12-08 10:14:00,2,22,1.0658141036401503e-14,5,2,1,521,8,New Customers
12559.0,2011-02-02 09:49:00,311,22,536.21,1,2,3,123,6,Needs Attention
12560.0,2011-12-04 13:54:00,5,111,2101.39,5,4,5,545,14,Best Customers
12561.0,2011-02-10 11:39:00,303,16,238.85,1,2,2,122,5,Lost Customers
12562.0,2011-12-01 17:20:00,8,168,3781.7400000000002,5,5,5,555,15,Best Customers
12564.0,2011-03-23 14:55:00,261,21,456.9,1,2,2,122,5,Lost Customers
12565.0,2011-03-03 11:43:00,282,10,131.17,1,1,1,111,3,Lost Customers
12566.0,2011-09-28 09:57:00,73,20,346.7,2,2,2,222,6,Lost Customers
12567.0,2011-11-17 11:02:00,23,463,9114.94,4,5,5,455,14,Best Customers
12569.0,2011-12-07 16:24:00,2,191,4064.9900000000002,5,5,5,555,15,Best Customers
12571.0,2011-10-31 10:19:00,40,34,519.61,3,3,3,333,9,Loyal Customers
12572.0,2011-12-01 09:20:00,9,62,1004.72,5,4,4,544,13,Best Customers
12573.0,2011-04-26 15:52:00,227,28,160.54000000000002,1,2,1,121,4,Lost Customers
12574.0,2011-01-28 09:20:00,316,11,218.45,1,1,1,111,3,Lost Customers
12576.0,2011-11-04 10:11:00,36,89,1306.98,3,4,4,344,11,Loyal Customers
12577.0,2011-11-04 13:28:00,35,148,595.4,3,5,3,353,11,Loyal Customers
12578.0,2011-11-18 13:30:00,21,120,2753.36,4,4,5,445,13,Best Customers
12579.0,2011-09-27 13:57:00,73,31,410.72,2,3,2,232,7,Needs Attention
12580.0,2011-04-07 10:24:00,247,24,415.7,1,2,2,122,5,Lost Customers
12581.0,2011-10-31 08:56:00,40,15,197.71,3,2,1,321,6,Needs Attention
12582.0,2011-04-15 08:45:00,239,22,511.36,1,2,3,123,6,Needs Attention
12583.0,2011-12-07 08:07:00,3,251,7187.34,5,5,5,555,15,Best Customers
12584.0,2011-12-06 09:35:00,4,126,1893.95,5,5,4,554,14,Best Customers
12585.0,2011-04-19 13:39:00,234,97,1982.81,1,4,4,144,9,Big Spenders
12586.0,2011-11-22 16:24:00,17,12,179.94000000000003,4,1,1,411,6,New Customers
12587.0,2011-12-02 12:47:00,8,4,144.0,5,1,1,511,7,New Customers
12588.0,2011-10-31 15:01:00,39,10,214.89999999999998,3,1,1,311,5,Needs Attention
12589.0,2011-11-11 10:19:00,29,35,646.68,4,3,3,433,10,Loyal Customers
12590.0,2011-06-02 14:25:00,190,70,9861.38,1,4,5,145,10,Big Spenders
12591.0,2011-01-26 14:35:00,317,26,452.84999999999997,1,2,2,122,5,Lost Customers
12592.0,2011-09-08 15:04:00,92,18,437.6,2,2,2,222,6,Lost Customers
12593.0,2011-08-23 12:43:00,109,21,418.09999999999997,2,2,2,222,6,Lost Customers
12594.0,2011-11-02 12:20:00,38,119,3320.2200000000003,3,4,5,345,12,Loyal Customers
12596.0,2011-10-19 13:02:00,51,27,618.27,3,2,3,323,8,Needs Attention
12597.0,2011-11-20 13:33:00,19,214,3683.13,4,5,5,455,14,Best Customers
12598.0,2011-11-30 12:18:00,10,133,3002.68,5,5,5,555,15,Best Customers
12599.0,2011-11-10 13:34:00,29,62,1032.58,4,4,4,444,12,Best Customers
12600.0,2011-11-11 10:29:00,29,65,2581.04,4,4,5,445,13,Best Customers
12601.0,2011-06-03 10:17:00,190,29,569.5600000000001,1,2,3,123,6,Needs Attention
12602.0,2011-10-12 11:22:00,59,12,153.12,3,1,1,311,5,Needs Attention
12603.0,2011-11-18 10:42:00,22,3,739.1999999999999,4,1,3,413,8,New Customers
12604.0,2011-09-21 14:08:00,79,16,254.18,2,2,2,222,6,Lost Customers
12605.0,2010-12-09 15:41:00,365,3,-7.5,1,1,1,111,3,Lost Customers
12607.0,2011-10-12 16:17:00,58,202,3.552713678800501e-15,3,5,1,351,9,Needs Attention
12609.0,2011-09-22 16:34:00,78,60,1126.85,2,4,4,244,10,Big Spenders
12610.0,2011-11-17 09:34:00,23,111,2057.99,4,4,5,445,13,Best Customers
12611.0,2011-10-18 13:12:00,52,65,1193.32,3,4,4,344,11,Loyal Customers
12612.0,2011-10-13 12:12:00,58,21,643.59,3,2,3,323,8,Needs Attention
12613.0,2011-11-08 13:30:00,31,163,3218.98,4,5,5,455,14,Best Customers
12614.0,2011-03-07 10:22:00,278,20,315.6,1,2,2,122,5,Lost Customers
12615.0,2011-12-07 15:02:00,2,105,2291.19,5,4,5,545,14,Best Customers
12616.0,2011-09-15 17:02:00,85,36,657.25,2,3,3,233,8,Needs Attention
12617.0,2011-11-10 14:39:00,29,42,355.53,4,3,2,432,9,Needs Attention
12618.0,2011-11-18 11:10:00,22,11,177.31,4,1,1,411,6,New Customers
12619.0,2011-11-23 14:52:00,16,95,3214.81,4,4,5,445,13,Best Customers
12620.0,2011-11-25 10:20:00,15,92,1339.41,4,4,4,444,12,Best Customers
12621.0,2011-12-08 11:25:00,2,474,13612.07,5,5,5,555,15,Best Customers
12622.0,2011-04-21 16:39:00,232,11,180.1,1,1,1,111,3,Lost Customers
12623.0,2011-03-08 13:50:00,276,18,305.1,1,2,2,122,5,Lost Customers
12624.0,2011-08-25 15:04:00,106,38,641.13,2,3,3,233,8,Needs Attention
12625.0,2011-05-12 09:54:00,212,91,2614.32,1,4,5,145,10,Big Spenders
12626.0,2011-11-16 16:06:00,23,307,6388.35,4,5,5,455,14,Best Customers
12627.0,2011-11-29 12:07:00,11,230,4478.53,5,5,5,555,15,Best Customers
12628.0,2011-12-05 13:15:00,4,43,769.61,5,3,3,533,11,Loyal Customers
12630.0,2011-11-30 10:48:00,10,64,1270.88,5,4,4,544,13,Best Customers
12631.0,2011-10-13 13:53:00,57,31,640.5,3,3,3,333,9,Loyal Customers
12633.0,2011-10-12 11:40:00,59,103,2140.63,3,4,5,345,12,Loyal Customers
12635.0,2011-09-11 11:04:00,90,101,1689.18,2,4,4,244,10,Big Spenders
12637.0,2011-10-03 13:46:00,67,394,5953.25,3,5,5,355,13,Loyal Customers
12638.0,2011-11-06 13:11:00,33,39,671.69,3,3,3,333,9,Loyal Customers
12639.0,2011-04-15 12:48:00,239,22,486.1,1,2,3,123,6,Needs Attention
12640.0,2011-11-16 11:52:00,24,53,1174.58,4,3,4,434,11,Loyal Customers
12641.0,2011-08-16 13:26:00,115,10,185.9,2,1,1,211,4,Lost Customers
12642.0,2011-11-14 15:03:00,25,47,1013.26,4,3,4,434,11,Loyal Customers
12643.0,2011-08-03 12:56:00,128,24,3344.64,2,2,5,225,9,Needs Attention
12644.0,2011-08-02 10:33:00,130,31,477.91,2,3,3,233,8,Needs Attention
12645.0,2011-11-06 12:38:00,34,74,1755.38,3,4,4,344,11,Loyal Customers
12646.0,2011-12-05 10:14:00,5,45,1346.97,5,3,4,534,12,Loyal Customers
12647.0,2011-11-17 12:56:00,22,128,3669.92,4,5,5,455,14,Best Customers
12648.0,2011-07-08 11:55:00,155,21,318.05,2,2,2,222,6,Lost Customers
12649.0,2011-08-24 14:41:00,107,33,603.71,2,3,3,233,8,Needs Attention
12650.0,2011-12-06 16:34:00,3,20,314.44,5,2,2,522,9,New Customers
12651.0,2011-01-09 12:46:00,335,9,114.0,1,1,1,111,3,Lost Customers
12652.0,2011-01-21 17:01:00,322,51,914.53,1,3,4,134,8,Needs Attention
12653.0,2011-07-14 10:41:00,149,43,2209.85,2,3,5,235,10,Needs Attention
12654.0,2011-11-29 10:10:00,11,38,601.98,5,3,3,533,11,Loyal Customers
12656.0,2011-11-22 13:42:00,17,130,3982.72,4,5,5,455,14,Best Customers
12657.0,2011-11-28 15:47:00,11,56,1152.06,5,3,4,534,12,Loyal Customers
12658.0,2011-11-21 10:22:00,19,36,686.05,4,3,3,433,10,Loyal Customers
12659.0,2011-11-10 11:53:00,30,5,91.68,4,1,1,411,6,New Customers
12660.0,2011-11-28 13:26:00,11,13,245.1,5,1,2,512,8,New Customers
12662.0,2011-12-09 11:59:00,1,232,3817.08,5,5,5,555,15,Best Customers
12664.0,2011-12-01 17:07:00,8,38,4863.88,5,3,5,535,13,Loyal Customers
12665.0,2011-01-19 08:34:00,325,4,61.75,1,1,1,111,3,Lost Customers
12666.0,2010-12-15 14:42:00,359,2,-227.44,1,1,1,111,3,Lost Customers
12667.0,2011-10-12 17:00:00,58,33,620.13,3,3,3,333,9,Loyal Customers
12668.0,2011-12-02 15:10:00,7,168,3743.18,5,5,5,555,15,Best Customers
12669.0,2011-07-12 09:54:00,151,102,1607.73,2,4,4,244,10,Big Spenders
12670.0,2011-11-29 15:23:00,10,94,2986.15,5,4,5,545,14,Best Customers
12672.0,2011-01-14 09:20:00,330,10,225.89999999999998,1,1,1,111,3,Lost Customers
12673.0,2011-12-04 13:55:00,5,42,610.52,5,3,3,533,11,Loyal Customers
12674.0,2011-11-28 12:22:00,12,91,1919.31,4,4,4,444,12,Best Customers
12676.0,2011-11-15 12:25:00,25,45,1331.39,4,3,4,434,11,Loyal Customers
12678.0,2011-10-28 13:04:00,42,167,17588.26,3,5,5,355,13,Loyal Customers
12679.0,2011-10-18 13:43:00,52,56,1058.67,3,3,4,334,10,Loyal Customers
12680.0,2011-12-09 12:50:00,1,52,862.81,5,3,3,533,11,Loyal Customers
12681.0,2011-11-25 11:35:00,15,646,13677.59,4,5,5,455,14,Best Customers
12682.0,2011-12-06 10:00:00,4,525,12288.22,5,5,5,555,15,Best Customers
12683.0,2011-12-05 16:31:00,4,362,8221.09,5,5,5,555,15,Best Customers
12684.0,2011-12-02 09:53:00,8,105,2283.63,5,4,5,545,14,Best Customers
12685.0,2011-11-11 13:46:00,28,157,2863.08,4,5,5,455,14,Best Customers
12686.0,2010-12-03 09:51:00,372,7,89.14,1,1,1,111,3,Lost Customers
12688.0,2011-08-18 08:49:00,114,171,4873.8099999999995,2,5,5,255,12,Big Spenders
12689.0,2011-11-14 08:31:00,26,72,1247.61,4,4,4,444,12,Best Customers
12690.0,2011-05-18 09:09:00,206,16,389.01,1,2,2,122,5,Lost Customers
12691.0,2011-11-11 16:49:00,28,32,1035.8,4,3,4,434,11,Loyal Customers
12693.0,2011-08-11 09:16:00,121,41,830.96,2,3,3,233,8,Needs Attention
12694.0,2011-09-30 13:06:00,70,37,869.67,3,3,3,333,9,Loyal Customers
12695.0,2011-12-02 13:22:00,7,27,582.1,5,2,3,523,10,New Customers
12697.0,2011-11-18 16:17:00,21,43,939.02,4,3,4,434,11,Loyal Customers
12700.0,2011-12-02 10:49:00,8,270,4867.99,5,5,5,555,15,Best Customers
12701.0,2011-09-21 10:47:00,80,53,797.71,2,3,3,233,8,Needs Attention
12702.0,2011-11-20 10:36:00,20,12,219.0,4,1,1,411,6,New Customers
12703.0,2011-10-06 19:23:00,64,22,274.7,3,2,2,322,7,Needs Attention
12704.0,2011-12-02 13:15:00,7,90,2220.84,5,4,5,545,14,Best Customers
12705.0,2011-11-24 13:17:00,15,348,6814.24,4,5,5,455,14,Best Customers
12707.0,2011-02-21 08:38:00,292,33,603.42,1,3,3,133,7,Needs Attention
12708.0,2011-11-10 09:52:00,30,174,2616.32,4,5,5,455,14,Best Customers
12709.0,2011-12-06 16:42:00,3,257,9294.1,5,5,5,555,15,Best Customers
12710.0,2011-09-04 12:00:00,97,79,1130.57,2,4,4,244,10,Big Spenders
12712.0,2011-11-17 09:15:00,23,142,4241.63,4,5,5,455,14,Best Customers
12713.0,2011-12-09 12:16:00,1,38,848.55,5,3,3,533,11,Loyal Customers
12714.0,2011-11-30 15:43:00,9,259,4708.86,5,5,5,555,15,Best Customers
12715.0,2011-08-25 15:22:00,106,21,353.86,2,2,2,222,6,Lost Customers
12716.0,2011-12-06 08:55:00,4,69,1053.49,5,4,4,544,13,Best Customers
12717.0,2011-07-11 14:51:00,151,56,980.98,2,3,4,234,9,Needs Attention
12718.0,2011-09-29 16:38:00,71,19,238.25,3,2,2,322,7,Needs Attention
12719.0,2011-12-04 13:45:00,5,42,608.1,5,3,3,533,11,Loyal Customers
12720.0,2011-12-07 08:03:00,3,359,5713.28,5,5,5,555,15,Best Customers
12721.0,2011-11-08 12:13:00,32,164,2628.98,4,5,5,455,14,Best Customers
12722.0,2011-09-15 14:50:00,85,57,904.33,2,3,3,233,8,Needs Attention
12723.0,2011-12-06 10:19:00,4,69,725.07,5,4,3,543,12,Loyal Customers
12724.0,2011-12-04 16:02:00,5,53,1031.41,5,3,4,534,12,Loyal Customers
12725.0,2010-12-03 15:45:00,371,24,427.8,1,2,2,122,5,Lost Customers
12726.0,2011-11-11 13:35:00,28,124,2609.1,4,4,5,445,13,Best Customers
12727.0,2011-11-29 11:46:00,11,141,3947.7,5,5,5,555,15,Best Customers
12728.0,2011-09-29 15:31:00,71,46,836.33,3,3,3,333,9,Loyal Customers
